theme,ticker,appearances,abs_median_20d_%,abs_hit_rate_20d,abs_n_20d,xqqq_median_20d_%,xqqq_hit_rate_20d,xqqq_n_20d,xsmh_median_20d_%,xsmh_hit_rate_20d,xsmh_n_20d,abs_median_60d_%,abs_hit_rate_60d,abs_n_60d,xqqq_median_60d_%,xqqq_hit_rate_60d,xqqq_n_60d,xsmh_median_60d_%,xsmh_hit_rate_60d,xsmh_n_60d,abs_median_120d_%,abs_hit_rate_120d,abs_n_120d,xqqq_median_120d_%,xqqq_hit_rate_120d,xqqq_n_120d,xsmh_median_120d_%,xsmh_hit_rate_120d,xsmh_n_120d,abs_median_252d_%,abs_hit_rate_252d,abs_n_252d,xqqq_median_252d_%,xqqq_hit_rate_252d,xqqq_n_252d,xsmh_median_252d_%,xsmh_hit_rate_252d,xsmh_n_252d
all_ai_supply_chain,ETN,1,-2.96,0.0,1,1.85,1.0,1,1.4,1.0,1,7.88,1.0,1,3.0,1.0,1,-4.5,0.0,1,4.76,1.0,1,-13.91,0.0,1,-16.68,0.0,1,44.71,1.0,1,4.79,1.0,1,-6.57,0.0,1
all_ai_supply_chain,FORM,1,1.5,1.0,1,6.31,1.0,1,5.86,1.0,1,37.07,1.0,1,32.19,1.0,1,24.68,1.0,1,34.52,1.0,1,15.85,1.0,1,13.08,1.0,1,70.86,1.0,1,30.93,1.0,1,19.57,1.0,1
all_ai_supply_chain,LITE,1,-4.0,0.0,1,0.81,1.0,1,0.36,1.0,1,0.52,1.0,1,-4.36,0.0,1,-11.86,0.0,1,-14.94,0.0,1,-33.62,0.0,1,-36.38,0.0,1,-17.34,0.0,1,-57.26,0.0,1,-68.62,0.0,1
all_ai_supply_chain,MOD,1,-2.09,0.0,1,2.72,1.0,1,2.27,1.0,1,18.5,1.0,1,13.61,1.0,1,6.11,1.0,1,-4.22,0.0,1,-22.9,0.0,1,-25.66,0.0,1,151.41,1.0,1,111.48,1.0,1,100.12,1.0,1
all_ai_supply_chain,MRVL,1,-14.33,0.0,1,-9.52,0.0,1,-9.98,0.0,1,5.39,1.0,1,0.51,1.0,1,-6.99,0.0,1,7.49,1.0,1,-11.18,0.0,1,-13.95,0.0,1,23.7,1.0,1,-16.23,0.0,1,-27.59,0.0,1
all_ai_supply_chain,MU,1,-8.11,0.0,1,-3.3,0.0,1,-3.75,0.0,1,5.14,1.0,1,0.26,1.0,1,-7.25,0.0,1,21.22,1.0,1,2.55,1.0,1,-0.22,0.0,1,38.84,1.0,1,-1.09,0.0,1,-12.44,0.0,1
all_ai_supply_chain,NVDA,1,-6.6,0.0,1,-1.79,0.0,1,-2.25,0.0,1,48.49,1.0,1,43.61,1.0,1,36.1,1.0,1,95.35,1.0,1,76.68,1.0,1,73.92,1.0,1,199.21,1.0,1,159.29,1.0,1,147.93,1.0,1
all_ai_supply_chain,ONTO,1,-9.23,0.0,1,-4.42,0.0,1,-4.88,0.0,1,8.91,1.0,1,4.03,1.0,1,-3.47,0.0,1,29.03,1.0,1,10.36,1.0,1,7.59,1.0,1,86.28,1.0,1,46.35,1.0,1,35.0,1.0,1
all_ai_supply_chain,POWL,1,40.52,1.0,1,45.33,1.0,1,44.87,1.0,1,78.13,1.0,1,73.25,1.0,1,65.74,1.0,1,134.83,1.0,1,116.16,1.0,1,113.4,1.0,1,243.73,1.0,1,203.81,1.0,1,192.45,1.0,1
all_ai_supply_chain,STX,1,4.49,1.0,1,9.29,1.0,1,8.84,1.0,1,27.23,1.0,1,22.35,1.0,1,14.84,1.0,1,22.22,1.0,1,3.55,1.0,1,0.79,1.0,1,61.27,1.0,1,21.35,1.0,1,9.99,1.0,1
all_ai_supply_chain,VRT,1,2.5,1.0,1,7.31,1.0,1,6.86,1.0,1,23.11,1.0,1,18.23,1.0,1,10.72,1.0,1,23.03,1.0,1,4.36,1.0,1,1.59,1.0,1,241.97,1.0,1,202.05,1.0,1,190.69,1.0,1
all_ai_supply_chain,WDC,1,-12.38,0.0,1,-7.57,0.0,1,-8.02,0.0,1,6.8,1.0,1,1.92,1.0,1,-5.58,0.0,1,3.33,1.0,1,-15.34,0.0,1,-18.11,0.0,1,34.3,1.0,1,-5.62,0.0,1,-16.98,0.0,1
copper_interconnect,ALAB,2,4.75,1.0,1,9.29,1.0,1,4.44,1.0,1,-46.73,0.0,1,-35.25,0.0,1,-36.46,0.0,1,-24.69,0.0,1,-25.14,0.0,1,-29.71,0.0,1,18.2,1.0,1,2.14,1.0,1,-25.64,0.0,1
copper_interconnect,APH,2,-0.51,0.5,2,2.02,1.0,2,-0.98,0.5,2,4.96,0.5,2,6.0,0.5,2,-0.29,0.5,2,19.28,1.0,2,16.53,1.0,2,16.3,1.0,2,50.06,1.0,2,36.48,1.0,2,25.79,1.0,2
